"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Romania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.306888,11.860401,15.297434,12.163117,10.761232,12.290583,13.685014,15.93996,18.394894,21.620453,29.357882,38.361973,41.911508,42.972796,42.955214,41.994794,38.636336,34.024486,30.515312,29.910491,28.55848,27.596235,27.209983,26.191946,27.920166
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.238007,15.830052,19.086918,33.847658,25.491445,23.689736,26.23246,29.685595,34.934607,38.817943,44.548163,48.153451,59.629331,65.610899,70.422199,63.089817,63.510763,69.357571,81.403871,98.011036,103.77117,99.454465,99.188519,97.368957,96.41893,116.2549
Rwanda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.31364765,0.38131671,0.98594195,0.96278556,0.852625,1.0227651,1.55061,1.8329986,1.2615044,2.1057833,3.2042917,2.3051908,2.2942296,3.9443054,4.2661109,3.0032132,4.0650677,4.3035375,4.5679996,4.394268,4.8680667,5.8470719,5.9901763,6.0053733,7.1387771,7.0545531,5.9385375,4.4028296,4.8953798,5.5025209,8.0604739,7.2952525,5.8038067,6.8683669,7.4571991,8.2119718,8.5159654,8.560023,8.8314133,8.1906266,9.2794603,9.7981443,11.265668,11.328051,12.543466,10.584563,10.875444,13.055178,15.545004,16.028934,17.350569,20.681285,20.211943,20.310831,21.089902,21.14048,24.428767
Saint Lucia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.138633,30.87098,33.64376,34.284003,32.75822,35.576377,35.262081,39.808612,39.081741,35.076257,32.859642,30.097349,30.84151,34.610119,39.518261,36.969982,37.657444,37.376426,43.622153,44.653331,45.953407,50.297762,53.84435,53.121749,56.009825,58.839948,63.988332,63.932651,56.196232,57.301189,62.527781,69.702402,85.678228,88.860464,93.511723,90.620572,87.665047,92.406819,89.097449,79.046069,70.813605,64.149473,58.924788,55.790212,53.362895,72.812656
Saint Vincent and the Grenadines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.685047,22.721679,26.923077,29.218408,28.31319,30.600486,31.883685,27.339736,29.550426,25.023452,27.300053,24.909623,27.865505,29.412687,32.739691,31.483998,34.688681,34.437293,34.407203,36.483979,40.671339,44.560792,47.621675,48.219118,51.721141,55.339982,52.144069,50.788877,49.002829,45.635657,45.611478,46.989712,48.238907,48.890161,51.384796,51.831393,52.991592,54.25379,52.761932,52.17744,51.50075,50.533774,49.764877,48.43105,48.12934,50.877588
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.3700182,4.2484505,5.8498866,5.1047448,4.8435943,4.289548,4.4044874,4.9645487,5.2833633,7.6971527,5.7581913,7.3363922,6.7550247,8.8890728,9.498473,12.494749,10.815453,9.9805531,9.9837425,9.8540934,9.363398,9.4832817,9.6954719,10.88591,12.744124,14.264899,13.538265,14.353204,15.338036,15.300446,16.389512,19.369393,16.171329,19.137155,20.064977,21.14888,26.067656,29.641128,29.965112,31.167323,31.21912,32.254863,35.932106,39.443703,37.520317,36.43765,36.072813,38.867685,39.773691,40.746685,41.1173,45.039362,44.130055,45.990358,48.186196,50.244206,50.827789,52.735533
Saudi Arabia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.3868541,4.0540231,4.5657537,5.4479646,6.220107,6.1401137,6.2292392,6.5589688,6.0236466,5.3503584,4.4630376,4.1490536,5.5698869,6.2555682,6.075438,5.1208152,6.7945423,8.955635,8.5699473,8.7377736,12.024611,16.51996,18.577083,21.2484,24.497632,24.386044,28.200154,27.591875,20.293431,21.021294,21.105349,25.779109,28.159326,28.422423,25.910306,27.528514,42.945172,36.482912,31.652375,35.056953,36.108358,34.342711,39.661104,42.473899,41.227176,47.503491,48.105192,56.307627,48.416009,40.930412,40.310707,46.128546,50.945176,65.244653,67.473417,62.791412,no data,no data,no data
Senegal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.017489,11.513933,12.49962,12.101755,12.574214,12.830201,11.689444,10.382822,11.947916,12.760023,12.375256,12.585804,13.274276,17.255951,20.284359,17.085904,17.864682,18.846339,24.986287,25.207258,23.960782,24.721949,22.888383,22.931698,20.81298,19.600875,17.755623,17.520401,19.208771,18.623246,17.427252,16.524837,17.364802,17.48883,10.869649,9.6802215,10.440761,10.237905,9.5052308,9.7445637,11.876037,11.194537,11.84779,12.984195,14.249903,15.521866,15.65983,16.049077,18.729393,19.267787,21.162901,23.708126,24.253521,26.121163,27.152243,27.138202,27.605263,29.474364,29.505393,29.60001,29.126054
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.975693,28.710624,32.488851,53.84192,36.9982,19.070922,20.935826,25.957015,31.27807,31.032356,41.164582,47.008412,49.029423,51.661244,45.653356,46.804285,40.112909,39.349176,40.473143,40.103792,44.427294,47.184703,48.822699,55.095524
Sierra Leone,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.2112912,4.0554393,5.4588799,7.3047119,6.4860685,5.7606666,5.1526539,4.7348408,4.3360307,4.1438732,4.4334435,4.0106709,4.2442484,5.0762768,5.3014612,4.8421146,4.6764351,4.5561851,5.3524686,4.2108288,4.6233072,4.5269561,4.3439895,3.8366872,2.0823977,1.4882114,1.7495617,1.5521924,1.8101408,2.513147,2.1536058,2.3820301,2.0696618,2.331812,2.1231322,1.8002793,1.6363229,2.0123179,1.7529963,1.3750397,1.3926262,1.5222061,1.9215218,2.8088083,3.4077839,3.2297438,3.3382914,4.2845919,5.5379088,8.1581449,7.7712376,7.6221309,6.176405,4.7146464,4.8434018,5.2163559,5.4382128,5.0171803,5.5920541,6.0266076,5.6816217
Singapore,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,36.148073,40.462144,40.203374,40.12843,37.418973,40.27216,45.104236,49.568682,50.577086,58.477653,64.576913,55.235043,58.112671,61.145838,60.818374,63.474192,68.224654,72.789006,79.596977,84.636172,90.438459,90.13564,92.535478,89.093608,85.108768,80.651767,84.021607,83.627988,84.374068,85.659186,85.672993,86.250855,94.351693,100.60487,105.22323,118.87925,119.30049,116.83815,145.45649,135.68228,140.59809,126.22585,121.84402,113.62252,115.32698,127.73276,129.30671,122.70571,127.72406,142.75007,156.19192,161.3238,160.14232,159.60325,154.74292,149.45661,157.94222,174.95555
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.465161,60.774115,59.203225,62.871371,59.104172,47.34942,46.808864,50.8504,46.729589,46.999688,49.056761,52.246396,61.021353,65.230804,70.255322,68.018408,72.279449,75.239957,79.137043,84.2534,85.215927,94.233543,96.804536,97.422574,97.61194,100.26487
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39.230819,26.133349,28.908339,33.870099,41.741892,41.934671,42.293424,49.362364,55.117561,59.907769,63.255106,65.595978,69.358497,73.98238,83.995397,89.534928,104.18977,114.71874,123.81533,124.95084,124.68125,123.69701,117.63738,107.16051,95.443022,88.024904,82.492275,78.451167,74.91611,75.67245
Solomon Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.1960748,9.1233604,11.427113,12.687792,11.984332,9.8769044,12.919153,19.214303,20.080106,17.779514,19.103389,24.00361,15.742972,12.828236,9.901237,9.6446321,8.7652673,8.3301611,7.7870479,7.9749812,8.7293929,8.8433858,9.9366716,7.9910522,8.213378,8.9447063,8.7104148,11.505619,15.984723,21.199159,23.483274,20.569769,17.027031,15.162919,14.446638,15.525423,17.225633,19.142299,20.256965,20.163095,19.597049,20.260142,20.547315
South Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.108289,48.236666,47.591904,48.161293,48.911517,50.354119,49.724538,49.964374,50.840661,48.429917,50.1384,49.159305,48.133204,47.237032,45.952342,43.544319,48.332069,49.913852,52.037214,54.465251,57.728748,50.576268,48.142483,50.416503,50.187376,50.192026,49.716327,47.907371,45.41466,46.958808,47.817242,49.87205,51.777033,56.127854,55.174169,52.890977,56.16101,49.160226,52.260233,52.606758,56.535396,64.553554,68.814569,70.922773,66.62358,62.747667,61.64166,63.754221,64.047424,64.023665,67.050873,65.287685,65.367366,65.374604,66.025363,66.676543
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.42944458,1.1745001,1.2904603,1.4871945,1.7150752,1.6537268,1.2204171,1.0191568,1.6588659,2.0463416
Spain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.958487,72.554984,75.703496,79.453595,80.485662,83.479795,85.162796,80.439425,75.396627,75.141502,77.515556,81.147427,82.338417,81.527182,79.111487,75.100305,70.739239,69.42076,72.529225,75.442831,75.965196,77.822867,78.28137,78.359403,74.859566,79.968523,79.80688,82.943211,88.935134,103.62612,117.8788,126.83508,133.37874,143.33351,156.69502,173.64391,194.79022,209.28335,214.2047,222.79526,224.02683,219.61085,211.43333,202.03901,190.42521,177.89614,169.22915,160.44831,154.18842,149.89967,170.15896
Sri Lanka,2.5371063,3.4228092,3.4439516,3.5010879,3.8410377,3.5425341,5.3509118,6.0790313,6.417798,6.299502,6.39962,6.443037,6.3002576,6.3784374,6.6747661,6.6061465,6.9135972,7.3156622,8.5790791,8.8101348,7.948555,8.4096756,8.9502982,7.942715,10.164314,9.5957766,10.578194,14.672631,18.987915,21.151448,15.10919,16.9313,18.255194,19.643614,18.031947,18.87951,18.438831,18.843127,20.349699,18.846244,18.317534,8.2251844,8.4563269,9.1790804,10.118009,28.948185,27.915273,26.96254,26.484152,27.013254,26.268594,25.406643,25.172973,25.917982,28.068379,28.772441,29.358536,29.323901,25.636006,21.915892,24.785406,33.662576,34.265141,33.444318,35.039827,45.775225,49.567777,54.206314,57.397061,59.357459,no data
Sudan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.7040846,4.8497413,5.3420661,6.3588866,5.7297314,4.5355111,4.8998172,5.7476172,6.8263553,5.3365774,5.7262527,5.3032901,5.4212295,5.8944233,5.1805823,5.9265907,6.1815569,5.8125328,6.6804288,7.3490994,7.5839572,7.6967885,10.767904,9.501612,9.0103765,8.568043,8.2952673,6.5872806,6.1030217,3.7905869,4.4144346,4.6183022,5.1433452,3.1366092,2.9731889,1.9550977,1.7713257,1.4186122,1.1758182,0.93701323,1.2314151,1.4470754,1.8206683,2.0606164,2.2296145,3.021799,10.407014,9.7462826,9.3031513,11.479483,10.363674,9.0576009,11.704979,10.332996,8.000284,8.0793806,6.8908715,8.2254368,8.9161542,8.7420614,6.1480016
Sweden,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,105.00145,107.3594,111.56984,111.89808,112.23847,113.48553,116.23635,122.72755,120.53704,113.48378,112.65763,113.81852,114.28765,112.79757,106.63743,104.76815,107.02891,106.82124,106.42058,101.24932,103.10032,105.9706,104.71039,105.07953,106.69967,115.70978,124.90989,136.55032,147.80032,154.8898,145.79982,151.69963,151.39991,141.58976,132.22979,130.82973,137.23007,141.90033,147.31974,154.28994,161.91994,161.13025,158.15994,158.60978,167.12029,141.14009,161.6301,188.04983,201.22018,189.31995,192.89026,195.89021,210.12995,202.63,211.58,211.30995,217.15981,221.43018,229.52005,240.29164
Switzerland,114.17024,111.55803,110.40846,110.56631,111.80529,111.20892,111.85139,110.36262,112.75281,115.40168,118.34331,119.71101,119.64756,118.27794,119.96097,121.62347,122.0603,124.08283,129.21575,136.07984,134.64267,129.57173,126.15022,123.16408,116.91248,128.36993,137.04372,145.87357,151.73278,154.70931,154.72792,152.61341,152.79917,158.00601,157.49102,158.62313,163.36151,170.6469,182.0097,192.64472,192.6729,191.63524,191.77283,187.16232,186.99661,189.42581,192.46271,191.41341,187.64157,195.5778,187.22016,183.0623,184.07977,191.61027,190.16335,191.23387,188.7134,196.04638,193.48903,208.54217,208.56869,215.1713,222.51599,222.92635,226.63739,230.57113,237.63656,246.79074,239.31067,255.88296,268.54154
São Tomé and Príncipe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.8446646,2.4715956,2.4338876,3.8591885,3.884343,3.7415449,3.9846659,5.5031224,9.7568977,16.30631,23.576367,26.980344,30.359789,26.435328,34.099908,35.620924,37.438008,35.557365,30.01226,24.604748,23.724824,22.628462,21.672835,19.870483,18.805229,17.228166
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.697576,10.943079,14.049994,14.827979,12.892924,12.038172,4.344134,6.3708716,7.253906,12.04487,13.297935,12.19623,12.051665,13.009061,11.46417,16.105168,19.399983,20.496651,15.426851,10.60098,9.5756845,9.2705824,10.235736
Tanzania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.9085859,3.7791462,3.9562704,3.6881172,4.5792433,5.2412459,4.8407113,4.4533607,4.3578438,3.2498245,2.4941295,2.6475833,1.7765731,1.7976297,1.5897619,1.0459066,1.0993804,1.4275276,1.3326614,1.2689339,1.1368734,1.3175635,1.2583504,0.78452473,1.067451,0.988335,1.4565649,1.2995443,11.538547,11.409192,11.514342,7.9973569,8.8609832,7.9602392,5.4616924,2.5388834,2.9064291,3.1325871,3.4334502,3.3547512,4.038422,4.9620401,6.1299113,7.0028185,0.00795418,9.1919635,11.102619,11.722823,11.038407,11.547475,12.278324,12.653064,12.416815,13.169429,14.400993,13.51603,12.935369,12.621945,12.470966,12.566674
Thailand,2.8795718,3.3512339,3.6364701,5.0328295,5.3159195,6.4740027,7.4421891,7.3051239,8.2238532,8.6982089,9.0984806,9.8785131,10.770675,10.409188,11.710498,12.95522,13.299252,13.902558,14.357718,15.244976,17.35842,18.285868,18.807479,20.865183,21.51987,23.698993,29.787435,33.378322,36.797034,36.89295,35.041518,36.021799,38.385628,45.559591,48.784617,50.110779,48.838989,51.11932,55.087165,61.624017,70.990223,76.03501,83.422611,95.124685,110.67656,122.12244,128.45305,145.64147,136.41367,114.44087,94.833055,85.430365,82.159318,97.860067,100.76301,98.032611,95.464515,93.508678,95.433489,101.19693,101.13357,111.09078,115.90422,124.00817,128.68785,132.2049,130.86707,129.92414,130.13876,131.93103,150.29191
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.0915747,5.1632015,19.862533,22.87572,24.458084,18.303994,15.218275,13.548464,12.041045,12.024121,13.193391,12.657843,12.776794,12.923475,12.274321,15.919375,15.663401,15.403804,18.323514
Togo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.0965804,6.1057717,5.8487863,6.0417625,5.7396754,3.5342731,3.7056619,4.3709065,6.0566485,5.3796581,6.5734973,6.6462885,6.5109151,8.8301677,9.1461792,11.847868,13.917858,14.640463,14.922225,15.129803,15.420345,13.955588,15.276051,13.446352,13.445813,12.274325,14.554977,15.423787,14.459085,13.150922,13.302593,14.67951,14.737673,16.656884,10.953142,11.814066,11.34375,10.774455,11.7761,10.192392,10.463671,9.5026064,8.4953587,10.514674,9.6625833,10.462306,11.485992,16.56124,13.727537,14.397089,15.89292,20.580895,22.459944,27.900302,26.176228,29.551878,30.435063,29.415275,27.365941,26.559806,26.415288
Tonga,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.13656914,2.2484685,7.0852866,8.6945214,8.724745,11.481622,11.673084,14.474595,17.478823,16.295739,16.918507,20.032757,19.470889,23.179779,28.535401,30.505148,29.724492,25.166162,23.684602,24.077045,30.216375,35.386659,35.472619,40.270795,42.126858,38.175827,40.782672,41.821852,43.970674,44.57369,40.539614,52.693678,48.130095,54.99426,52.174628,47.811943,39.655728,32.816586,30.564544,30.618082,31.380001,33.85833,37.203476,37.814096,39.436315,37.38144,38.810405
Trinidad and Tobago,no data,13.0178,11.837412,10.964424,10.354008,11.227974,9.2226796,7.5649659,7.4951446,10.551,11.857168,11.082801,12.324116,11.415839,13.188333,15.462523,14.918747,16.082193,15.762294,20.571904,22.890197,23.675249,29.104941,28.661065,25.760616,28.659569,33.788167,37.927855,48.206344,42.965199,38.234991,41.805069,43.300937,52.615106,56.409922,55.897936,59.265229,61.359148,59.010495,58.162967,51.590156,58.30277,57.651939,56.432402,44.971285,47.661285,47.692354,63.611993,63.768849,61.911999,57.736682,52.576879,56.533242,51.232262,46.998933,43.354167,46.563435,46.555599,40.166637,59.864686,52.050431,46.499151,46.309195,39.9103,46.422227,52.693012,61.535187,66.481466,63.481416,61.180948,65.864138
Turkey,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.639073,18.936919,17.208367,15.209734,16.258134,16.99348,17.476113,18.828535,18.590006,19.036127,23.310578,28.0245,25.753294,25.555969,25.717626,27.454554,21.840687,19.975685,22.077405,29.101285,35.825643,40.631675,47.407579,48.852185,55.688505,60.959252,62.477996,71.337289,74.447147,79.226175,84.407684,83.666166,82.486274,79.566142,89.130229
Uganda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.9587695,4.9822603,5.8679955,5.7265059,6.368114,6.525155,7.2103883,6.9914294,5.2223107,5.7270214,5.1910893,4.8678782,4.7615574,5.1156485,5.3469663,4.1816298,3.7803201,2.7534911,2.2436426,1.5342982,2.1810526,2.9485382,2.1916352,2.4732951,1.304455,1.7618137,1.6805313,1.6230083,1.6072063,1.9125486,2.0726377,2.2571906,2.5425304,3.2403974,3.120145,3.3948015,4.0056924,3.5141498,4.1616102,4.3222301,4.1659184,4.9569995,5.513315,6.0069508,6.009727,6.1288682,7.0409959,7.0886645,8.7558869,8.1266407,10.103817,10.591161,10.680945,10.613459,11.238909,12.298216,12.025736,11.71,11.739987,11.996606,12.628446
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.8412473,7.4999144,9.2886348,11.637799,14.349442,16.512799,19.654531,26.127621,34.40786,39.158578,47.503476,62.646003,78.804798,105.38601,110.18452,97.690163,91.105999,91.252129,95.737691,118.22765,107.54143,94.928473,77.24399,66.114936,53.907021,56.238837
United Arab Emirates,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.3605821,10.887495,14.225654,18.651152,20.647398,22.33418,20.050954,18.696496,20.142268,22.972138,26.457507,26.623843,27.322488,37.146822,36.391279,39.03538,36.677796,28.959916,30.799204,31.188347,32.642976,33.687854,34.855982,35.17102,40.626112,45.901001,43.860874,36.616538,42.552865,44.527622,45.126344,49.418241,55.437992,66.081653,79.909156,91.325103,117.19729,104.94025,86.511682,80.812998,81.662941,86.184479,104.36708,109.75521,106.71237,102.33532,105.35446,122.77588
United Kingdom,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.983453,52.277374,55.436983,58.570696,59.336328,58.140466,57.193549,57.879385,57.076883,64.875671,64.564623,62.528598,58.027604,58.976867,56.412026,55.860881,55.938039,56.881034,60.911537,65.639763,68.485776,76.022127,77.384009,84.655703,88.56996,98.401208,107.37709,115.51072,116.03172,118.03558,119.24973,113.95849,116.32911,115.31339,111.80751,119.37835,127.4174,134.73109,143.53276,152.88729,153.22492,157.36004,165.19377,171.5342,175.32089,185.84988,185.14568,177.11832,172.51908,173.27135,166.70567,158.37908,155.90603,159.892,162.45924,161.1241,156.09931,170.34974
United States,55.314634,53.657228,56.555505,58.016532,62.573558,65.340243,68.086068,69.871723,73.723216,74.923568,77.881108,81.026412,82.024513,85.316883,86.939193,88.123746,87.44434,90.548618,89.953189,90.612007,91.988973,93.015979,94.940924,96.179222,98.382328,96.041868,94.668489,96.970414,98.378116,100.50907,101.31399,99.314162,101.84521,103.35179,106.45549,112.97004,119.15757,121.76077,123.96454,124.27361,124.09483,122.12711,118.27202,117.8666,118.23912,120.24425,120.97942,122.31686,127.04405,131.61385,134.7201,139.21985,143.14719,146.82297,150.60478,154.78879,161.33052,168.19338,167.82811,166.54038,158.0798,153.24001,150.00674,149.12845,148.18706,148.2144,150.03332,151.67048,150.87311,150.76762,164.37518
Uruguay,14.395023,15.123628,13.260761,13.75919,14.270183,18.141235,19.735798,16.923092,25.253038,22.282284,15.106519,14.444523,16.457501,16.259079,18.895578,14.236958,10.343386,9.3546201,6.9737166,7.3566285,8.4054572,8.3477341,10.048863,8.2199157,8.0928711,17.374076,19.097756,22.466396,25.63868,30.316861,34.070905,36.058785,63.261391,43.81014,38.178626,41.499405,36.96058,29.700617,35.077606,35.787233,28.506715,22.945674,23.061883,22.564056,21.729743,24.119518,24.43845,26.661358,41.312937,43.517875,49.206495,53.458525,71.362939,45.461443,27.87271,23.957643,23.214865,24.596288,27.666163,21.421948,25.850847,22.500067,23.616092,28.280675,29.750786,32.053195,31.150473,29.674223,30.75019,29.547327,32.638082
Vanuatu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.007267,46.706204,51.012867,35.536666,31.970043,31.375384,29.525102,29.938156,28.052378,27.344848,29.524326,29.918472,30.095816,30.236797,33.271878,29.862881,35.497369,35.066754,33.542134,32.463512,33.548307,30.309606,31.706999,35.145492,30.865442,32.804688,36.289495,37.887904,39.097537,42.98088,41.862524,43.215416,54.738789,64.583815,67.227672,68.999128,73.404343,72.397008,74.901471,71.394957,67.8767,63.935738,61.015455,56.782657,61.005709
Venezuela,4.1475398,4.0862659,4.3543196,5.4004925,6.0924547,6.8471997,7.2478638,8.9704124,9.9517456,11.231463,10.066305,9.7794046,9.2766708,8.9792363,9.4171252,9.8645235,9.6168695,10.128199,10.664912,10.737159,10.670643,11.078651,12.262043,14.048705,16.338214,21.132319,24.722334,25.414084,28.483591,24.223574,23.237377,22.597008,24.915724,26.132676,25.66483,25.823669,30.562784,29.775942,29.966319,19.953797,16.96943,19.388884,20.794333,20.226867,13.687691,11.487496,12.581775,16.791141,20.832255,23.750781,20.638725,21.993145,24.104233,23.343286,19.818708,17.021851,20.037153,27.643676,24.549759,29.312197,25.778864,27.301808,32.774325,42.379835,57.935455,42.365636,no data,no data,no data,no data,no data
Vietnam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.755824,13.018172,no data,14.558042,14.70403,15.632426,15.84907,22.199015,27.76912,30.944082,33.968665,38.096797,42.448471,47.622062,51.475482,67.447552,65.268412,81.373973,90.35317,79.943082,75.549391,77.558111,80.001032,90.399227,98.858961,103.97203,105.75501,109.33177,116.65741
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.2197921,4.9437354,4.6548319,4.8467971,4.2027672,4.6048062,3.0145335,3.8882618,5.3493756,5.2465128,4.86063,5.7347658,5.8012883,6.3663978,7.1625362,6.9393122,6.9132196,8.184085,7.704922,7.735476,6.2893406,5.0687258,4.6454041,5.6367195,no data,no data,no data,no data,no data,no data,no data
Zambia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.3074483,10.599746,12.376571,10.286785,10.311528,14.618981,14.690357,13.303741,13.434438,22.677258,21.584391,17.031297,15.415837,11.887239,12.627673,12.824981,16.213928,17.877717,17.400725,10.231699,7.8579825,7.5850469,7.5592565,8.3433702,10.140626,7.3011917,6.4252675,4.6464831,4.212164,5.5057626,7.2281391,7.9859048,6.7615596,5.9066874,6.3620736,7.301835,6.3007646,5.2598116,5.8024272,6.8787084,6.4830731,8.040361,9.572419,12.15615,9.9209793,9.1055734,9.9703957,11.891384,11.586874,13.286469,15.628654,12.005455,11.099158,11.585763,12.432818,11.434005
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.0077258,no data,1.6314306,0.69089072,3.9920561,10.484679,11.993417,12.136665,15.706367,19.424721,25.075055,12.377873,15.280357,18.703188,21.804807,21.22171,24.790009,21.544091,26.580997,24.815419,16.161583,21.562499,27.724157,84.811972,53.168157,17.047785,14.948799,no data,no data,no data,7.1591074,13.543629,18.983236,20.14062,18.731913,19.210371,18.315686,17.098562,15.60567,10.199897,6.7533647,6.9459276
