Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Saint Lucia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.169128,15.855995,16.117357,16.389493,17.120685,17.186922,19.539492,18.546673,18.133724,16.969119,19.739329,22.197992,22.917871,23.737297,22.880583,24.038335,27.193717,29.429037,28.858675,32.429067,38.06642,48.777322,45.558397,49.527392,51.862196,48.525029,48.867802,46.308323,50.915992,52.8527,54.894569,60.476564,61.852565,62.126099,60.98236,61.360528,60.439603,60.411523,61.426994,93.483183
Saint Vincent and the Grenadines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.2051642,2.2030955,2.2987385,7.6874419,7.7025446,15.421054,14.066029,17.257635,16.097273,17.29605,16.747616,20.599535,23.558977,24.700748,24.009792,23.376319,28.55433,33.584766,31.54231,33.600093,32.620965,32.653857,33.525637,34.28184,38.731036,39.049166,37.617699,36.122646,38.19811,no data,49.841428,49.127543,51.604084,52.239568,55.546475,46.179561,38.878212,39.09632,38.947413,45.914756,53.641676,57.006582,60.930413,63.150886,68.645448,67.649217,68.357431,61.819076,64.128943,67.590826,78.232073
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.1285492,6.3960767,11.580201,17.401095,20.057885,22.998985,29.813393,38.019006,43.825667,48.330612,55.15761,72.224056,62.634851,60.630119,62.268744,63.786291,59.279422,59.884773,53.8042,52.894628,51.825966,65.530016,61.974907,71.826182,98.820376,74.111578,65.651776,60.497982,60.466577,60.976275,57.206727,55.170083,51.583695,43.865599,40.86884,35.031219,34.359214,32.277261,28.9059,34.112078,41.318806,41.903441,51.772587,56.025828,57.758086,58.929244,51.724088,49.639602,52.82924,47.445472,46.496992
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.914002,14.477956,14.154407,12.627794,15.488741,20.066134,19.963739,16.621005,17.241636,23.16022,21.008973,21.832304,23.991041,61.047867,63.490453,62.936642,76.941883
Saudi Arabia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.83258,16.093979,39.351867,47.799639,58.598614,67.869545,74.247745,75.206121,76.704214,101.52323,102.99172,86.702013,93.147598,96.35186,81.564302,62.928169,37.342446,25.830841,17.115456,12.055999,13.98903,8.4259821,5.3830828,3.0363342,2.14783,1.5618863,5.799847,13.092587,17.159599,18.979589,22.790205,32.537378
Senegal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.542917,15.10195,14.206138,15.707409,18.902036,14.89887,18.893079,22.02157,26.918868,27.362728,31.194499,38.319978,47.244954,58.854778,61.257304,66.510791,60.690307,63.270857,63.572905,53.94789,51.10519,51.774444,49.970716,53.439005,77.341321,65.263684,62.268859,67.84546,18.799836,14.989254,57.514006,53.208811,51.992868,42.883334,37.998538,36.129935,17.486673,18.962782,19.073493,29.937418,28.498335,32.876641,34.48872,36.860469,42.365709,44.508726,47.523587,61.139422,61.522879,63.842643,68.68114
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.594375,62.047954,51.160058,37.728849,30.909824,30.049828,33.303662,40.291793,42.637036,53.17339,56.260668,66.38604,69.972342,67.770141,57.829282,53.680512,51.970944,57.394729
Seychelles,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.6624319,6.1843208,6.2371163,7.236555,4.4808766,4.9492924,no data,no data,2.9408644,6.0500053,7.4158235,12.387954,15.270106,26.525023,31.506796,36.994121,41.302055,39.918652,36.307254,41.033281,79.905135,82.179744,123.45265,133.52237,146.66102,143.01253,161.24034,159.7868,177.83717,199.78682,195.85988,176.97492,163.22583,144.06428,135.07054,143.99718,192.10236,106.12531,82.223527,82.508384,80.06926,68.198972,72.73117,67.148186,69.138202,62.12202,59.083954,57.729561,96.483992
Sierra Leone,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.448717,21.814798,21.780543,25.685188,29.200498,29.3417,34.272613,38.194989,41.146687,39.943602,44.032628,50.636122,52.581023,55.229589,45.771962,60.56115,73.20378,90.875056,57.16623,60.907475,123.28293,95.730991,126.84764,126.6759,168.61753,128.1641,117.11563,126.02512,148.91369,146.14524,143.23099,132.78648,126.23944,123.64958,119.88113,111.69906,103.22887,42.165633,42.374188,48.050382,46.849097,42.033422,36.427844,30.588757,35.089456,45.685993,60.724868,69.154614,69.089294,71.656162,73.734855
Singapore,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.62439,18.706167,19.779297,21.140679,26.753749,37.333296,35.242696,35.515524,42.084021,46.211424,37.400209,34.566298,40.767384,49.222483,55.260422,58.214807,58.63669,56.705554,56.464813,61.005497,65.77198,67.282605,78.713157,82.638466,84.027926,78.287291,75.37242,75.600456,77.899521,82.069947,73.891394,69.369948,72.027722,72.378376,71.360931,83.414799,87.860515,83.842171,93.936375,97.223022,101.75937,97.597527,94.966788,89.370246,89.447102,96.44771,106.40023,101.27925,104.49802,107.51031,99.031232,99.259402,102.95959,108.82306,109.06459,110.74789,128.49215,155.40532
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.476365,34.765004,33.850754,42.568884,46.374143,48.747054,57.831625,57.721786,56.981987,56.216437,57.258535,56.05087,54.350204,52.755256,65.613325
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.206621,15.823951,16.521245,19.948547,20.305214,20.965367,21.638894,22.429572,24.248521,25.156956,24.288726,24.162529,23.993289,23.36004,21.0856,18.935962,30.570756,32.682219,40.899543,46.440493,60.337067,69.126247,70.211901,67.079618,66.819008,63.62464,59.012549,73.146887
Solomon Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.6325909,8.0400765,10.3991,11.304186,14.823929,19.62927,23.71093,39.578689,54.201338,72.081226,69.524518,70.340015,61.109237,63.988852,52.595097,49.734267,40.774044,36.181877,32.494754,30.589214,35.810101,35.285834,39.494299,51.197842,60.410624,63.006351,53.187245,47.970857,42.304773,34.347016,20.730776,27.495512,22.947682,18.344054,15.146769,13.484863,10.461881,8.9644204,7.0708334,8.3864967,8.2996215,8.3125664,13.98752
South Africa,49.553352,48.195968,46.482267,45.079318,44.209504,43.316192,42.072854,41.841492,47.05156,45.659096,42.628989,41.664065,41.818606,39.19604,36.892691,37.493851,38.796135,37.610117,40.827,38.755194,37.208024,37.691375,38.913012,33.691812,29.143344,32.729549,34.767923,36.127055,36.52239,34.205622,28.222176,26.492646,27.504779,27.891902,27.644416,26.791822,27.525003,28.130461,28.373309,28.557004,27.885138,30.574832,32.987565,36.716223,43.538288,43.66297,43.198534,42.800664,42.723511,40.72517,37.929026,38.045164,31.800661,31.514111,30.73345,29.637103,28.030118,24.325998,24.044823,26.994644,31.185361,34.74204,37.407879,40.355912,43.253385,45.195471,47.134054,48.588218,51.589654,56.303246,69.447489
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.9057282,17.586986,37.63168,59.272058,104,60.7,46.3,31.257885,35.810175
Spain,46.107717,39.862897,38.807696,40.200261,37.84559,38.776491,35.202979,33.967084,29.941468,29.314783,29.953505,27.412005,25.393028,22.089851,18.736066,17.555665,17.061601,16.921551,17.462825,17.892488,17.938146,16.86889,16.550478,15.439615,13.068051,11.551279,7.9871761,8.5364083,9.7347184,9.6864277,9.7312459,10.373958,11.554786,12.965519,17.690535,30.31304,35.148051,36.160783,36.593043,32.98542,34.396451,35.90078,36.025401,39.308575,49.030234,51.45706,54.986593,53.855313,52.225006,50.889013,48.593549,45.006153,42.902283,39.949777,38.622862,35.778727,32.512593,29.647376,33.244367,45.605446,51.382619,58.640146,73.820514,83.250475,87.330945,87.165233,86.939275,87.054369,87.034544,85.281907,107.5485
Sri Lanka,no data,9.9771379,14.764214,16.982158,15.234459,13.0188,15.421341,17.789762,18.810274,21.852733,25.587813,29.749761,33.36087,30.243181,30.979527,33.327332,36.147171,37.628963,40.148159,37.956445,35.333782,38.451091,39.420874,38.287846,35.669977,37.555722,44.150452,59.545671,62.162537,58.12552,62.779746,64.294552,68.557631,68.406183,58.156569,68.714245,74.284459,82.216082,85.34932,91.853868,81.596103,83.203945,80.566782,81.837624,80.520165,80.427129,78.794554,72.509016,76.743231,80.311914,81.869663,87.205245,99.544617,89.361611,89.412095,79.168753,76.791438,74.268455,71.098871,75.20018,71.569732,71.108043,69.60878,71.775785,72.216596,78.486864,79.016411,77.901799,84.209436,86.802004,101.2354
Sudan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,495.20051,285.89497,386.47431,239.0214,220.87671,167.67101,179.66497,160.48798,143.24842,125.58747,121.71975,117.35315,97.804071,75.477386,63.70629,53.691937,55.756401,70.994946,74.567907,78.113173,117.67133,105.75246,84.425689,93.193279,109.93783,152.8804,186.74138,200.3485,272.91948
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.307586,28.021151,26.118275,25.053149,4.6352004,4.6585738,2.8785333,no data,no data,no data,no data,no data,no data,33.83547,46.971531,66.824253,no data,no data,no data,72.881146,75.708628,64.386949,51.052284,30.497499,16.258364,11.76999,16.780775,21.643936,32.302597,35.740195,37.194053,35.598782,31.291444,29.483456,27.107464,22.536262,16.418495,14.773528,14.648173,17.316953,18.737565,20.095565,27.901834,25.207871,41.106994,74.787338,71.452204,66.143896,85.236228,148.24
Sweden,35.905149,29.865998,27.265215,27.039615,27.542602,27.366506,26.722524,27.108063,28.170323,27.687495,27.338898,24.727343,21.813707,19.705533,17.757675,16.035478,15.077772,15.205127,16.707724,16.62359,17.113196,17.078229,17.516772,18.271026,19.224435,21.878761,21.174707,23.722224,28.493092,33.940742,38.669739,45.55014,53.090299,57.770218,59.699733,61.139812,59.179889,53.929953,48.350115,42.950092,40.209948,42.099949,53.399871,68.309959,72.799876,75.409881,79.109838,80.550039,79.740185,74.719868,66.569972,59.079976,56.370087,54.78998,53.369925,53.460091,48.430031,42.840026,40.889964,44.40004,40.939989,39.750053,40.480043,43.069989,45.74,44.46,42.86999,41.349964,40.040033,36.530007,42.708748
Switzerland,38.506185,35.26522,33.038262,31.603668,29.912652,27.131413,24.765876,21.386443,19.309551,17.827555,15.419048,13.228876,11.396489,10.198221,8.8284653,7.7952062,7.1731782,6.77673,6.5545846,6.3191648,5.7182951,5.5151925,5.1380443,4.8400084,5.5776052,7.3095499,12.558762,12.881837,13.134325,13.700092,12.794947,12.110595,11.585694,11.375864,no data,no data,13.65687,13.069547,12.521676,11.255567,10.9698,11.774849,14.046077,16.545568,17.721568,19.365395,20.59549,22.223633,24.27887,22.435581,22.102126,21.628847,24.848591,24.856339,24.710942,24.473026,21.649209,19.387388,18.609527,17.439619,16.548175,16.258998,16.236325,15.859986,15.232826,14.532407,13.555108,13.988515,12.639601,12.090821,13.322125
Syria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49.960461,52.077363,49.961031,40.528243,37.978098,36.319595,46.867889,53.078013,60.025004,54.840852,60.443691,60.87967,84.584103,101.21579,116.46968,138.04789,127.94741,113.07976,138.62457,203.84517,189.75659,182.42463,173.62143,171.93947,162.98122,152.64233,141.47887,147.6234,151.22536,147.69772,152.09445,144.48996,132.42709,133.37035,113.04721,50.710288,44.977268,42.671884,37.319159,31.212095,30.024411,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.4039941,18.604705,22.221295,34.234599,34.97847,45.534539,56.533562,68.39409,74.242912,65.693322,77.384955,101.07296,114.23569,110.55462,138.76997,176.47375,143.60555,152.10294,228.88042,677.18031,495.94864,460.12521,526.18291,485.11581,410.14222,362.38489,325.5927,347.3784,295.74765,269.63685,103.80844,58.549332,72.416752,79.538554,78.019443,81.036875,71.150659,69.457251,85.797346,95.297496,85.83887,93.89392,71.56691,81.373742
Taiwan Province of China,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.6793047,3.8579104,4.7370045,4.4960226,5.3184135,10.104884,12.879696,13.495952,14.908128,15.251419,15.877626,14.620465,13.390296,23.72584,27.268199,26.803009,28.604291,28.993369,29.490013,28.813815,27.822651,28.806949,31.938361,32.26418,33.309242,34.040135,33.700338,32.449433,31.054736,30.414306,29.766589,29.244749,28.139929,28.014908
Thailand,6.5506944,6.8920303,8.1559585,12.830607,16.519987,13.297036,12.740316,12.57232,14.985882,15.246862,14.260816,12.878168,13.411358,12.58435,13.329219,14.81861,14.398606,15.031564,15.533926,17.696902,18.534656,21.546571,26.770764,21.168797,16.3229,15.761899,21.982281,22.390652,22.767753,23.693011,22.147545,24.369814,27.105147,28.920416,30.648909,36.761205,40.143735,38.772444,30.33257,23.720619,17.796372,12.967957,10.490877,8.1862435,5.6932197,4.6100947,3.6734975,4.6415204,10.669857,20.005779,21.964587,24.578334,30.070356,27.046018,24.3964,24.392201,23.261117,22.604001,21.99186,26.795897,27.779262,27.315354,28.457899,29.632393,29.890917,32.090099,30.557332,32.458826,33.914452,33.977156,44.940813
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.00188754,0.45570689,1.5245308,2.9421002,4.6763897,6.6447859,9.2882876,11.540481,13.940408
Togo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.1996855,9.5864136,7.8386112,10.302022,17.201795,18.472397,25.206029,33.979336,51.408502,60.102356,52.743708,56.820943,62.088011,66.38928,62.13849,68.60254,56.372627,56.578709,51.340906,46.339924,44.733146,46.868708,45.031683,58.297306,78.960929,64.82285,60.398923,54.38036,62.818787,59.902423,66.490342,68.489939,54.835267,49.97781,48.703817,63.082629,67.74437,73.801719,68.734944,59.710475,34.32122,35.090412,35.57859,42.418393,46.461926,53.308093,60.145889,56.609123,57.004161,52.352319,60.280264
Tonga,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.1922,40.053,46.143,42.4323,40.2573,49.7617,42.2815,39.778,no data,no data,35.272455,31.516018,32.759176,36.029556,38.402439,43.561618,53.396725,60.662369,56.220876,52.24847,43.348795,39.550025,37.81587,34.005234,39.726862,44.732209,51.853432,54.42938,49.038085,47.476482,51.176066,49.414586,45.583086,45.87147,41.280578,43.251543
Trinidad and Tobago,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.350808,13.605302,14.270355,13.944566,no data,14.967988,15.947621,21.701316,16.186711,17.569375,17.243256,13.741155,11.514231,9.5106209,no data,15.849355,13.657563,5.9622349,8.3020986,7.4548898,10.623518,15.612205,16.385408,35.89354,45.586717,48.987495,51.134904,47.708453,49.477126,49.151961,58.785715,52.581695,50.13765,46.980013,46.114243,42.776458,42.15215,38.911381,36.612571,35.619038,29.045242,23.207829,19.012299,16.207078,15.653623,13.020745,20.03864,19.582732,27.976857,24.570306,24.378885,23.446606,28.087069,37.676097,42.408766,41.811937,46.73567,60.388685
Tunisia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.407147,36.010934,31.318079,31.041736,29.246943,27.266059,29.625175,32.588621,35.435826,33.561409,31.249514,32.09541,34.960188,37.64646,38.552642,41.367936,51.415482,46.825772,50.673688,48.755593,50.031942,55.990236,50.680665,54.208099,54.144086,52.806058,50.800594,56.938306,54.188785,55.575608,55.008533,56.560842,55.906514,54.520996,54.101214,52.421963,47.951972,44.793897,47.257955,46.646663,45.481584,49.340567,54.386266,49.203797,53.547796,58.515061,64.155791,73.558366,80.077752,74.170284,89.738931
Turkey,11.622721,no data,no data,no data,no data,no data,no data,no data,9.322271,8.0089609,8.7644191,12.712291,12.718991,13.231783,12.41802,15.855162,16.150669,16.086726,16.605096,16.149859,20.237944,17.865652,16.265531,13.161624,12.021948,12.46383,12.328261,14.716763,15.663603,17.794208,24.779537,25.718338,29.44553,29.231786,36.882002,38.353083,32.907595,37.658227,38.558941,30.41349,24.661605,27.232315,29.060553,29.773548,39.300522,31.682208,32.723258,32.185296,30.312359,38.849137,37.183255,72.059801,67.137456,59.985383,54.382925,48.794745,43.418007,37.609161,37.978274,43.924976,40.606345,36.946367,33.696359,32.147857,29.80767,28.849977,28.933351,27.969912,28.389972,30.780904,35.920159
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.566714,37.597258,30.711778,25.396362,15.70151,11.135938,7.7924946,5.2578747,3.1397329,1.9463671,1.4099726,1.639724,1.421931,2.6127142,6.5054762,12.274574,14.746385,12.639252,18.761396,23.651777,28.00851,31.479194,32.203364,32.247538
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.407724,37.494189,32.98438,20.2887,21.125579,21.059063,19.098078,19.275112,17.789577,16.387303,14.369691,11.488845,12.049781,11.835247,11.524841,7.29191
Uganda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.294788,11.833297,13.518257,15.488481,15.957865,12.681356,14.327454,9.1869549,9.3028876,7.7465845,13.97463,12.734481,12.883285,26.56506,27.049251,32.874293,27.351337,no data,no data,no data,no data,141.15393,88.25783,61.055136,42.269505,46.919098,47.682522,44.194855,45.093123,47.717546,48.54465,51.352312,54.710964,55.139357,48.96602,42.562787,27.758013,16.975573,15.653838,14.792812,18.354946,17.959442,19.491385,22.079782,24.767852,28.672286,30.993915,33.638535,34.752972,37.044444,44.096894
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.151822,24.36603,28.891838,46.537364,58.958849,43.789532,36.690025,33.579563,29.380226,24.798092,17.740632,14.800325,12.266638,19.84666,34.738897,40.046047,36.394284,36.763485,39.883324,69.599803,79.061874,80.899968,71.79846,60.903325,50.243409,60.878302
United Kingdom,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.796339,37.329644,36.316484,44.913259,39.118916,38.501094,36.821573,33.46053,37.833164,39.372057,39.758873,40.247039,38.076058,37.385617,32.574284,28.493924,27.293248,27.530958,32.144822,36.770551,39.510751,42.518005,42.74837,42.421749,40.324213,39.056814,36.361712,33.638476,33.767264,34.799807,37.631304,38.746682,39.573909,40.568986,48.442136,62.326826,73.304309,79.022565,82.207423,83.247769,85.123467,85.752857,85.723252,85.250467,84.720785,84.279351,103.49894
United States,78.199645,68.201929,66.341449,64.602206,64.955715,59.520558,55.370304,52.249566,53.659927,50.901287,48.843131,48.71073,46.683625,45.101255,43.08586,40.284211,37.597638,37.44479,35.810768,32.959059,32.588675,32.445719,31.069127,28.572192,27.511703,31.083993,32.216335,32.125633,31.204295,29.793497,30.59302,30.326736,34.479185,37.391818,39.204934,42.897649,46.37764,47.564265,47.956631,47.996295,50.079413,53.553833,55.797709,57.389579,56.698261,56.353742,55.722561,53.095523,50.067424,46.851469,41.383999,40.663216,42.124274,44.676876,45.47616,45.612806,44.827463,45.16842,53.406291,64.970587,73.647275,78.528166,82.79118,85.13749,85.921972,86.910377,89.356682,88.97987,90.989051,93.122807,119.00868
Uruguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.1351212,9.34224,9.1629596,7.034109,7.6444629,8.1630992,8.7067604,7.2916333,5.6653367,3.9947262,4.6104107,4.337958,13.533464,21.253873,39.627442,29.157293,34.751841,37.489008,34.981002,no data,26.300337,20.484736,22.322286,20.050306,19.386177,18.587274,18.337297,18.833906,19.462415,21.73021,27.178873,35.66885,84.336925,86.567829,69.740223,62.711463,57.338142,48.819691,48.117043,41.575449,36.968304,36.745474,35.672865,35.797501,36.521209,43.943534,43.362818,43.990805,46.686413,49.29905,58.078448
Vanuatu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.772974,4.5366269,3.9908142,5.0520382,6.5515646,8.2237311,13.661943,14.471379,18.190797,21.159561,20.785708,21.035954,20.273835,21.599129,24.061594,23.058176,22.943197,28.045864,30.619489,36.10835,37.035863,38.80623,38.263811,30.412225,26.273755,22.160739,19.481266,21.212936,21.124302,20.223245,21.29889,19.279714,18.630391,20.107462,37.565855,43.595789,51.752806,48.13137,45.280258,48.667573
Venezuela,0.12430238,0.05382131,0.35050072,0.23841686,0.18624817,0.14922871,0.11176471,0.07841986,1.9606248,2.6690405,5.3624121,5.7683605,4.7742489,4.0860469,3.6188002,3.8016647,3.7575062,4.3901681,5.1471102,6.2144696,6.719296,7.2350031,9.1949335,8.676342,7.6313808,5.7868262,9.6402606,12.671061,16.566912,19.230983,16.635091,18.893644,18.593464,21.392069,36.396135,34.1026,45.86709,58.278134,46.294136,61.831966,63.261968,62.191092,54.805706,57.746981,63.891448,45.904407,45.904075,34.848323,31.17981,29.700314,27.37865,29.562291,35.45674,47.476326,37.633022,31.66183,24.069227,19.151238,13.980853,18.202972,18.349001,25.160421,31.595699,45.114354,44.538799,50.875228,no data,no data,no data,no data,no data
Vietnam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,220.12674,177.61665,135.14625,105.51503,85.645878,72.907225,58.639728,61.235544,59.665752,32.826101,31.397594,32.054294,34.779033,31.248133,29.721344,26.780759,26.454368,25.716307,no data,44.3404,43.113148,40.470524,43.665019,46.261735,49.267704,50.860737,48.835646,46.309922,43.602019,43.685271
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.02378,22.159103,20.869959,20.655032,21.091163,23.995367,19.2525,23.717505,22.978294,23.963563,22.718087,26.284934,29.801102,30.23139,33.952136,37.070953,31.027315,31.784584,33.144905,34.46871,47.194163
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,91.565431,82.685029,78.022149,76.74738,73.349757,84.107591,114.90499,74.156532,110.59523,96.050252,60.840745,60.568578,57.827228,56.823012,52.068094,43.80071,40.842372,40.407906,36.421266,49.842358,42.379573,45.725985,47.312378,48.199762,48.722145,57.03129,72.255354,77.426337,74.543975,76.527015,84.165724
Zambia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.100214,2.047408,4.3199619,6.4054917,2.5570645,8.2538862,10.77341,13.316917,15.480621,14.104944,14.980639,14.366442,18.524363,17.075991,15.903778,13.740194,10.196556,7.9815777,17.668064,19.297205,18.609383,24.551498,2.2633476,15.256994,17.716678,24.382074,23.725819,18.412751,26.44971,25.840028,260.96417,210.24258,180.24365,159.45778,129.91412,75.747565,25.005528,21.921533,19.191818,20.521145,18.897889,20.808121,25.433807,27.080977,36.128642,65.776765,60.952809,66.31682,80.358318,97.384362,128.70214
